文件夹,文件名,行数,列数,数值列数,缺失值,起始日期,结束日期
储能发电计划,储能发电计划_地区汇总_终发布电力.csv,176,106,101,528,2026-01-01,2026-07-01
储能发电计划,储能发电计划_地区汇总_预发布电力.csv,176,106,101,528,2026-01-01,2026-07-01
储能发电计划,储能发电计划_江北分区_终发布电力.csv,176,106,101,528,2026-01-01,2026-07-01
储能发电计划,储能发电计划_江北分区_预发布电力.csv,176,106,101,528,2026-01-01,2026-07-01
储能发电计划,储能发电计划_江南分区_终发布电力.csv,176,106,101,528,2026-01-01,2026-07-01
储能发电计划,储能发电计划_江南分区_预发布电力.csv,176,106,101,1296,2026-01-01,2026-07-01
根目录,分省可再生能源发电能力预测_发电能力.csv,103,106,102,412,2026-01-02,2026-07-01
受电计划,受电计划_华东_出清发布电力.csv,176,106,101,528,2026-01-01,2026-07-01
受电计划,受电计划_华东_边界信息发布电力.csv,176,106,101,528,2026-01-01,2026-07-01
实际受电情况,实际受电情况_实际发布电力.csv,178,106,101,6486,2026-01-01,2026-07-01
实际系统负荷,实际系统负荷_实际发布电力.csv,177,106,102,6756,2026-01-01,2026-07-01
实际统调风光情况,实际统调风光情况_光伏_地区汇总_实际发布电力.csv,373,106,100,1348,2026-01-01,2026-07-01
实际统调风光情况,实际统调风光情况_光伏_江北分区_实际发布电力.csv,373,106,100,1348,2026-01-01,2026-07-01
实际统调风光情况,实际统调风光情况_光伏_江南分区_实际发布电力.csv,373,106,100,1348,2026-01-01,2026-07-01
实际统调风光情况,实际统调风光情况_风力_地区汇总_实际发布电力.csv,373,106,100,2090,2026-01-01,2026-07-01
实际统调风光情况,实际统调风光情况_风力_江北分区_实际发布电力.csv,373,106,100,2090,2026-01-01,2026-07-01
实际统调风光情况,实际统调风光情况_风力_江南分区_实际发布电力.csv,373,106,100,2090,2026-01-01,2026-07-01
正负备用空间,正负备用空间_正备用.csv,183,106,102,828,2026-01-01,2026-07-01
正负备用空间,正负备用空间_负备用.csv,183,106,102,828,2026-01-01,2026-07-01
燃机固定出力总值,燃机固定出力总值_地区汇总_出清发布电力.csv,177,106,101,627,2026-01-01,2026-07-01
燃机固定出力总值,燃机固定出力总值_地区汇总_边界信息发布电力.csv,177,106,101,627,2026-01-01,2026-07-01
燃机固定出力总值,燃机固定出力总值_江北分区_出清发布电力.csv,177,106,101,627,2026-01-01,2026-07-01
燃机固定出力总值,燃机固定出力总值_江北分区_边界信息发布电力.csv,177,106,101,627,2026-01-01,2026-07-01
燃机固定出力总值,燃机固定出力总值_江南分区_出清发布电力.csv,177,106,101,627,2026-01-01,2026-07-01
燃机固定出力总值,燃机固定出力总值_江南分区_边界信息发布电力.csv,177,106,101,627,2026-01-01,2026-07-01
用户侧日前出清发布,用户侧日前出清发布_出清电力.csv,25,106,101,363,2026-03-15,2026-07-01
用户侧日前出清发布,用户侧日前出清发布_统一结算点电价临时结果.csv,25,106,101,75,2026-03-15,2026-07-01
用户侧日前出清发布,用户侧日前出清发布_统一结算点电价最终结果.csv,25,106,101,2379,2026-03-15,2026-07-01
短期系统负荷预测,短期系统负荷预测信息_出清发布电力.csv,178,106,102,808,2026-01-01,2026-07-01
短期系统负荷预测,短期系统负荷预测信息_边界信息发布电力.csv,178,106,102,808,2026-01-01,2026-07-01
统调光电功率预测,统调光电功率预测_太阳能_地区汇总_出清发布电力.csv,176,106,100,352,2026-01-01,2026-07-01
统调光电功率预测,统调光电功率预测_太阳能_地区汇总_边界信息发布电力.csv,176,106,100,352,2026-01-01,2026-07-01
统调光电功率预测,统调光电功率预测_太阳能_江北分区_出清发布电力.csv,176,106,100,352,2026-01-01,2026-07-01
统调光电功率预测,统调光电功率预测_太阳能_江北分区_边界信息发布电力.csv,176,106,100,352,2026-01-01,2026-07-01
统调光电功率预测,统调光电功率预测_太阳能_江南分区_出清发布电力.csv,176,106,100,352,2026-01-01,2026-07-01
统调光电功率预测,统调光电功率预测_太阳能_江南分区_边界信息发布电力.csv,176,106,100,352,2026-01-01,2026-07-01
统调风电功率预测,统调风电功率预测_风力_地区汇总_出清发布电力.csv,176,106,100,352,2026-01-01,2026-07-01
统调风电功率预测,统调风电功率预测_风力_地区汇总_边界信息发布电力.csv,176,106,100,352,2026-01-01,2026-07-01
统调风电功率预测,统调风电功率预测_风力_江北分区_出清发布电力.csv,176,106,100,352,2026-01-01,2026-07-01
统调风电功率预测,统调风电功率预测_风力_江北分区_边界信息发布电力.csv,176,106,100,352,2026-01-01,2026-07-01
统调风电功率预测,统调风电功率预测_风力_江南分区_出清发布电力.csv,176,106,100,352,2026-01-01,2026-07-01
统调风电功率预测,统调风电功率预测_风力_江南分区_边界信息发布电力.csv,176,106,100,352,2026-01-01,2026-07-01
